DPTO_KEY,Cluster,DBSCAN_Cluster,Oficinas_por_100k,Depositos_por_Capita,NBI_%_2024,Ingreso_Prom_PEN_2024,Tasa_Empleo,PBI_por_Capita,Internet_por_100k,Movil_por_100k,PNP_por_100k,Indice_Brecha_Inclusion,PCA1,PCA2
AMAZONAS,0,0,5.2717,782.1962,29.2134,1240.275,0.9623,8181.2649,8168.2411,121877.8335,448.0948,5.5311,1.9608,-0.4407
ANCASH,0,0,2.5842,441.676,16.8667,1514.7391,0.9608,19738.2879,34664.5513,139758.6937,448.2616,6.5018,0.9922,0.7578
APURIMAC,0,0,7.1471,1894.2184,7.7544,1286.3208,0.9674,17793.7125,19781.6931,134668.8552,603.3138,1.0835,0.355,-1.7633
AREQUIPA,1,-1,6.2919,5410.1915,8.6261,2109.986,0.9318,22879.5036,52931.2302,150834.7255,473.122,1.3688,-3.0133,-0.8695
AYACUCHO,0,0,4.7064,1140.3569,16.6191,1329.7586,0.9577,10082.0529,23342.519,127782.8088,462.0433,3.5236,1.0379,-0.4013
CAJAMARCA,0,0,3.9522,880.4374,14.6968,1199.9563,0.9585,8949.8729,14376.7543,130517.4003,299.9973,3.7092,1.5326,-0.5018
CUSCO,1,0,6.885,3600.7951,11.4337,1617.89,0.9538,18886.234,29067.3705,144720.6077,568.1333,1.6583,-0.8795,-1.4931
HUANCAVELICA,0,0,4.6025,1346.825,19.2266,1297.7382,0.9556,11254.8563,11578.3902,119630.7089,478.0821,4.1684,1.2462,-0.6025
HUANUCO,0,0,3.4672,865.3748,23.7014,1360.9047,0.9508,9603.1049,21559.4823,137919.3035,489.5659,6.8163,1.3267,0.2947
ICA,1,1,5.7595,2239.1427,9.1522,1886.2142,0.9232,25200.6524,60608.7462,151129.2778,415.5084,1.5863,-2.2992,0.3025
JUNIN,1,0,6.5809,3307.6739,20.7432,1364.4163,0.9474,12834.8076,26196.7934,142462.7499,489.3912,3.1473,-0.2813,-1.2637
LA LIBERTAD,0,0,3.1495,1299.3464,11.1638,1625.7685,0.9685,14022.2841,42130.5003,146732.7679,325.3509,3.5335,0.662,0.3437
LAMBAYEQUE,0,0,2.7563,838.7629,6.7864,1398.3922,0.926,11271.3705,52397.8919,147548.9869,473.1637,2.4533,-0.4515,0.779
LIMA/ CALLAO,2,-1,2.4141,1230.7642,33.8748,3870.1209,0.9368,24396.3227,77310.3443,149748.9146,542.009,13.9739,-2.077,4.4911
LORETO,0,0,2.7164,426.8252,55.8993,1435.6235,0.9497,11599.8325,7944.9016,120128.3517,336.3856,20.5027,2.5319,1.5136
MADRE DE DIOS,1,-1,9.9242,2529.4637,27.2712,1835.4252,0.9351,13620.6564,27758.5596,238808.393,779.7547,2.7452,-1.1,-1.06
MOQUEGUA,1,-1,9.7219,2286.0752,11.2438,2121.0742,0.9082,78198.3667,58966.1621,165603.9299,544.9981,1.1554,-5.0808,-0.3531
PASCO,0,0,6.6912,1737.161,24.6473,1408.1449,0.9591,20725.6332,11063.7042,129218.9007,429.0241,3.678,0.6799,-1.0171
PIURA,0,0,4.093,1506.9012,22.0481,1388.6342,0.9302,11564.7829,29146.1857,134191.8851,305.2549,5.3736,0.1574,0.222
PUNO,0,0,4.69,849.5498,20.9192,1083.4002,0.953,9021.2723,14538.7086,150672.1685,390.1263,4.4508,1.49,-0.5403
SAN MARTIN,0,0,4.7948,843.2232,31.4255,1433.8349,0.9687,8082.6464,22801.9833,147945.6737,525.2151,6.5404,1.7981,0.1665
TACNA,1,1,6.9838,2387.668,9.9157,1700.6333,0.9326,27087.0793,60457.2286,186883.4489,752.4322,1.4178,-2.1899,-0.2994
TUMBES,0,0,5.3366,615.084,20.1905,1580.1485,0.9415,13447.1345,48762.1352,179187.3274,807.6029,3.7763,-0.1144,0.6116
UCAYALI,0,0,3.8271,420.9765,39.3169,1492.213,0.9592,9617.3783,31471.6825,156654.2252,441.7283,10.2465,1.7161,1.1232
